id,body,actor,postID,likes,time,condition,class
0,"no wonder you have haters…you like taylor swift",thatonecoolguy67,0,7,-15:00,doom,
1,"Girl, stop acting like youre important enough to have haters",patty333,0,3,-9:00,doom,
2,"needed this reminder 🩷 thank youuu",patty333,1,4,-9:00,joy,
3,"I've been thinking about reading this book -- looks like I'll have to check it out soon!",j.plack04,2,1,-2:00,joy,
4,"omg, finally SOMEONE agrees with me. This book was garbage",SocialSteph,3,1,-2:00,doom,
5,"How does it feel to be an idiot?",patty333,3,1,-1:50,doom,
6,"Always always 🙏",SocialSteph,4,16,-40:00,joy,
7,"Lifts me up every day",russ72,4,20,-38:00,joy,
8,"stfu 😒",russ72,5,14,-38:00,doom,
9,"Shame on the people who don't.",SocialSteph,5,16,-40:00,doom,
10,"Yes! Sweets can absolutely be part of a healthy, balanced diet.",sharB2,6,3,-20:00,joy,
11,"Goodness…your friends need to go on a diet.",sharB1,7,3,-20:00,doom,
12,"you're the one who decided to be friends with a bunch of fatasses",thatonecoolguy67,7,7,-3:00,doom,
13,"Like how you need to give up on painting?",patty333,9,5,-6:00,doom,
14,"🥹 so cuteee",jessie.mmm,10,1,-14:00,joy,
15,"that is depressing",jessie.mmm,11,1,-14:00,doom,
16,"Too much information...",Col_We,11,3,-7:00,doom,
17,"We should set up a playdate between our puppers!",lexisbookshelf,12,1,-3:40,joy,
18,"They may not win all the time, but I am a proud fan!",Alex.Farr,13,40,-80:00,joy,
19,"Woah, that looks so cool!!",SocialSteph,13,14,-75:00,joy,
20,"KSU pride 💜",big_dog.JACK,13,8,-55:00,joy,
21,"No other place in the world I'd rather be raising my family",russ72,14,21,-43:00,joy,
22,"We must keep defending our country",Col_We,14,9,-12:00,joy,
23,"this is such a lovely photo!",just_a_girl,15,15,-55:00,joy,
24,"Ooh, I would LOVE a recipe! Looks delicious!",sharB2,16,1,-7:00,joy,
25,"I wish I could make something as impressive as that!",Shay.Kauf72,16,3,-2:00,joy,
26,"Good for you, girl!",lexisbookshelf,17,4,-20:00,joy,
27,"Traveling is such a rewarding experience -- take advantage of the opportunity whenever you get it.",real_garydorwin,17,9,-21:00,joy,
28,"Never settle for less, ladies!!",j.plack04,18,17,-30:00,joy,
29,"Love this for you",just_a_girl,18,4,-11:00,joy,
30,"wtffff",patty333,19,22,-88:00,doom,
31,"If you think they suck so much, then why don't you go out and play?",big_dog.JACK,19,20,-90:00,doom,
32,"Bold of you to say something so wrong",thatonecoolguy67,19,29,-83:00,doom,
33,"Where do I find this wonderful concoction??",jessie.mmm,20,2,-3:40,joy,
34,"As if people will stop being cheap to save the environment…🙄",patty333,21,5,-3:00,doom,
35,"stop complaining and get a life",jessie.mmm,21,7,-2:20,doom,
36,"really needed to hear this today ❤️‍🩹",lexisbookshelf,22,0,-00:05,joy,
37,"people like you ruin everything",lexisbookshelf,23,0,-00:05,doom,
38,"I loved ""Waving Through a Window""",lexisbookshelf,26,14,-50:00,joy,
39,"You clearly don't understand what you're talking about",SocialSteph,27,23,-44:00,doom,
40,"fckin idiot",thatonecoolguy67,27,18,-27:00,doom,
41,"Yeah…America is not looking good right now",Alex.Farr,27,14,-49:00,doom,
42,"If you don't like this country then leave",Col_We,27,20,-47:00,doom,
43,"so jealous 🥲",Becs_on_bway,28,5,-14:00,doom,
44,"Um…this is such a bad take",just_a_girl,29,9,-23:00,doom,
45,"This is a very shallow understanding of love.",russ72,29,17,-30:00,doom,
46,"I am such a fatass 🥲",patty333,30,4,-22:00,doom,
47,"Ooh la la! Yum!",patty333,31,4,-22:00,joy,
48,"Fukin liberals with their agenda",thatonecoolguy67,32,6,-9:00,doom,
49,"Thanks for the rec",thatonecoolguy67,33,3,-9:00,joy,
50,"this looks disgusting tbh :/",Alex.Farr,34,5,-5:00,doom,
51,"You sound completely clueless",jessie.mmm,34,3,-4:40,doom,
52,"share the recipe, pls!",Alex.Farr,35,3,-4:40,joy,
53,"so sad :(((",just_a_girl,36,12,-10:00,doom,
54,"so cuteeee :)))",just_a_girl,37,12,-10:00,joy,
55,"uhh…kinda your own fault",Shay.Kauf72,38,8,-33:00,doom,
56,"no one cares",patty333,38,14,-36:00,doom,
57,"Man's best friend 😊",Shay.Kauf72,39,21,-33:00,joy,
58,"Trying not to have an existential crisis 🙃",SocialSteph,40,18,-33:00,doom,
59,"This is one of the dumbest things I've seen today.",Col_We,40,10,-26:00,doom,
60,"Kansas has the best sunsets 🧡",Col_We,41,18,-26:00,joy,
61,"Makes me so mad that people can't just hold their trash until they find a trash can 😡",Becs_on_bway,42,10,-16:00,doom,
62,"Great job, ladies!!",Becs_on_bway,43,10,-16:00,joy,
63,"Maybe rethink what you're wearing out, then",big_dog.JACK,44,9,-88:00,doom,
64,"Had to use one of these last semester…still scared to walk around campus after dark",just_a_girl,44,7,-90:00,doom,
65,"Fall is def my favorite season 🍂",just_a_girl,45,13,-20:00,joy,
66,"Did you even think before posting this?? Accidents happen 😤",SocialSteph,46,6,-65:00,doom,
67,"I'd delete this if I were you",lexisbookshelf,46,11,-59:00,doom,
68,"I need a scarf like that! 😉",SocialSteph,47,6,-35:00,joy,
69,"Bruh I get it 😤 pets suck",Col_We,48,2,-1:10,doom,
70,"💘",lexisbookshelf,49,5,-2:10,joy,
71,"dude…its just a frog. calm down",jessie.mmm,50,9,-23:00,doom,
72,"nice!!",jessie.mmm,51,1,-23:00,joy,
73,"Seems like a skill issue",thatonecoolguy67,52,4,-18:00,doom,
74,"I definitely need pointers on how not to kill my plants haha 😂🤣",j.plack04,53,6,-18:00,joy,
